Season,Team,Division
1992-1993,Milwaukee Bucks,Central
1992-1993,Cleveland Cavaliers,Central
1992-1993,Charlotte Hornets,Central
1992-1993,Atlanta Hawks,Central
1992-1993,Chicago Bulls,Central
1992-1993,Minnesota Timberwolves,Midwest
1992-1993,San Antonio Spurs,Midwest
1992-1993,Dallas Mavericks,Midwest
1992-1993,Houston Rockets,Midwest
1992-1993,Denver Nuggets,Midwest
1992-1993,Utah Jazz,Midwest
1992-1993,Los Angeles Lakers,Pacific
1992-1993,Sacramento Kings,Pacific
1992-1993,Portland Trail Blazers,Pacific
1992-1993,Golden State Warriors,Pacific
1992-1993,Seattle SuperSonics,Pacific
1992-1993,Phoenix Suns,Pacific
1992-1993,Los Angeles Clippers,Pacific
1991-1992,New Jersey Nets,Atlantic
1991-1992,Miami Heat,Atlantic
1991-1992,New York Knicks,Atlantic
1991-1992,Boston Celtics,Atlantic
1991-1992,Philadelphia 76ers,Atlantic
1991-1992,Washington Bullets,Atlantic
1991-1992,Orlando Magic,Atlantic
1991-1992,Indiana Pacers,Central
1991-1992,Detroit Pistons,Central
1991-1992,Milwaukee Bucks,Central
1991-1992,Cleveland Cavaliers,Central
1991-1992,Charlotte Hornets,Central
1991-1992,Atlanta Hawks,Central
1991-1992,Chicago Bulls,Central
1991-1992,Minnesota Timberwolves,Midwest
1991-1992,San Antonio Spurs,Midwest
1991-1992,Dallas Mavericks,Midwest
1991-1992,Houston Rockets,Midwest
1991-1992,Denver Nuggets,Midwest
1991-1992,Utah Jazz,Midwest
1991-1992,Los Angeles Lakers,Pacific
1991-1992,Sacramento Kings,Pacific
1991-1992,Portland Trail Blazers,Pacific
1991-1992,Golden State Warriors,Pacific
1991-1992,Seattle SuperSonics,Pacific
1991-1992,Phoenix Suns,Pacific
1991-1992,Los Angeles Clippers,Pacific
1990-1991,New Jersey Nets,Atlantic
1990-1991,Miami Heat,Atlantic
1990-1991,New York Knicks,Atlantic
1990-1991,Boston Celtics,Atlantic
1990-1991,Philadelphia 76ers,Atlantic
1990-1991,Washington Bullets,Atlantic
1990-1991,Orlando Magic,Midwest
1990-1991,Indiana Pacers,Central
1990-1991,Detroit Pistons,Central
1990-1991,Milwaukee Bucks,Central
1990-1991,Cleveland Cavaliers,Central
1990-1991,Charlotte Hornets,Central
1990-1991,Atlanta Hawks,Central
1990-1991,Chicago Bulls,Central
1990-1991,Minnesota Timberwolves,Midwest
1990-1991,San Antonio Spurs,Midwest
1990-1991,Dallas Mavericks,Midwest
1990-1991,Houston Rockets,Midwest
1990-1991,Denver Nuggets,Midwest
1990-1991,Utah Jazz,Midwest
1990-1991,Los Angeles Lakers,Pacific
1990-1991,Sacramento Kings,Pacific
1990-1991,Portland Trail Blazers,Pacific
1990-1991,Golden State Warriors,Pacific
1990-1991,Seattle SuperSonics,Pacific
1990-1991,Phoenix Suns,Pacific
1990-1991,Los Angeles Clippers,Pacific
1989-1990,New Jersey Nets,East
1989-1990,Miami Heat,East
1989-1990,New York Knicks,East
1989-1990,Boston Celtics,East
1989-1990,Philadelphia 76ers,East
1989-1990,Washington Bullets,East
1989-1990,Orlando Magic,East
1989-1990,Indiana Pacers,East
1989-1990,Detroit Pistons,East
1989-1990,Milwaukee Bucks,East
1989-1990,Cleveland Cavaliers,East
1989-1990,Charlotte Hornets,West
1989-1990,Atlanta Hawks,East
1989-1990,Chicago Bulls,East
1989-1990,Minnesota Timberwolves,West
1989-1990,San Antonio Spurs,West
1989-1990,Dallas Mavericks,West
1989-1990,Houston Rockets,West
1989-1990,Denver Nuggets,West
1989-1990,Utah Jazz,West
1989-1990,Los Angeles Lakers,West
1989-1990,Sacramento Kings,West
1989-1990,Portland Trail Blazers,West
1989-1990,Golden State Warriors,West
1989-1990,Seattle SuperSonics,West
1989-1990,Phoenix Suns,West
1989-1990,Los Angeles Clippers,West
1988-1989,New Jersey Nets,East
1988-1989,New York Knicks,East
1988-1989,Boston Celtics,East
1988-1989,Philadelphia 76ers,East
1988-1989,Washington Bullets,East
1988-1989,Indiana Pacers,East
1988-1989,Detroit Pistons,East
1988-1989,Milwaukee Bucks,East
1988-1989,Cleveland Cavaliers,East
1988-1989,Charlotte Hornets,East
1988-1989,Atlanta Hawks,East
1988-1989,Chicago Bulls,East
1988-1989,Minnesota Timberwolves,West
1988-1989,San Antonio Spurs,West
1988-1989,Dallas Mavericks,West
1988-1989,Houston Rockets,West
1988-1989,Denver Nuggets,West
1988-1989,Utah Jazz,West
1988-1989,Los Angeles Lakers,West
1988-1989,Sacramento Kings,West
1988-1989,Portland Trail Blazers,West
1988-1989,Golden State Warriors,West
1988-1989,Seattle SuperSonics,West
1988-1989,Phoenix Suns,West
1988-1989,Los Angeles Clippers,West
1987-1988,New Jersey Nets,East
1987-1988,New York Knicks,East
1987-1988,Boston Celtics,East
1987-1988,Philadelphia 76ers,East
1987-1988,Washington Bullets,East
1987-1988,Indiana Pacers,East
1987-1988,Detroit Pistons,East
1987-1988,Milwaukee Bucks,East
1987-1988,Cleveland Cavaliers,East
1987-1988,Atlanta Hawks,East
1987-1988,Chicago Bulls,East
1987-1988,San Antonio Spurs,West
1987-1988,Dallas Mavericks,West
1987-1988,Houston Rockets,West
1987-1988,Denver Nuggets,West
1987-1988,Utah Jazz,West
1987-1988,Los Angeles Lakers,West
1987-1988,Sacramento Kings,West
1987-1988,Portland Trail Blazers,West
1987-1988,Golden State Warriors,West
1987-1988,Seattle SuperSonics,West
1987-1988,Phoenix Suns,West
1987-1988,Los Angeles Clippers,West
1986-1987,New Jersey Nets,East
1986-1987,New York Knicks,East
1986-1987,Boston Celtics,East
1986-1987,Philadelphia 76ers,East
1986-1987,Washington Bullets,East
1986-1987,Indiana Pacers,East
1986-1987,Detroit Pistons,East
1986-1987,Milwaukee Bucks,East
1986-1987,Cleveland Cavaliers,East
1986-1987,Atlanta Hawks,East
1986-1987,Chicago Bulls,East
1986-1987,San Antonio Spurs,West
1986-1987,Dallas Mavericks,West
1986-1987,Houston Rockets,West
1986-1987,Denver Nuggets,West
1986-1987,Utah Jazz,West
1986-1987,Los Angeles Lakers,West
1986-1987,Sacramento Kings,West
1986-1987,Portland Trail Blazers,West
1986-1987,Golden State Warriors,West
1986-1987,Seattle SuperSonics,West
1986-1987,Phoenix Suns,West
1986-1987,Los Angeles Clippers,West
1985-1986,New Jersey Nets,East
1985-1986,New York Knicks,East
1985-1986,Boston Celtics,East
1985-1986,Philadelphia 76ers,East
1985-1986,Washington Bullets,East
1985-1986,Indiana Pacers,East
1985-1986,Detroit Pistons,East
1985-1986,Milwaukee Bucks,East
1985-1986,Cleveland Cavaliers,East
1985-1986,Atlanta Hawks,East
1985-1986,Chicago Bulls,East
1985-1986,San Antonio Spurs,West
1985-1986,Dallas Mavericks,West
1985-1986,Houston Rockets,West
1985-1986,Denver Nuggets,West
1985-1986,Utah Jazz,West
1985-1986,Los Angeles Lakers,West
1985-1986,Sacramento Kings,West
1985-1986,Portland Trail Blazers,West
1985-1986,Golden State Warriors,West
1985-1986,Seattle SuperSonics,West
1985-1986,Phoenix Suns,West
1985-1986,Los Angeles Clippers,West
1984-1985,New Jersey Nets,East
1984-1985,New York Knicks,East
1984-1985,Boston Celtics,East
1984-1985,Philadelphia 76ers,East
1984-1985,Washington Bullets,East
1984-1985,Indiana Pacers,East
1984-1985,Detroit Pistons,East
1984-1985,Milwaukee Bucks,East
1984-1985,Cleveland Cavaliers,East
1984-1985,Atlanta Hawks,East
1984-1985,Chicago Bulls,East
1984-1985,San Antonio Spurs,West
1984-1985,Dallas Mavericks,West
1984-1985,Houston Rockets,West
1984-1985,Denver Nuggets,West
1984-1985,Utah Jazz,West
1984-1985,Los Angeles Lakers,West
1984-1985,Sacramento Kings,West
1984-1985,Portland Trail Blazers,West
1984-1985,Golden State Warriors,West
1984-1985,Seattle SuperSonics,West
1984-1985,Phoenix Suns,West
1984-1985,Los Angeles Clippers,West
