SEASON,RK,NAME,TEAM,SALARY
2009-2010,134,"Speedy Claxton, PG",Atlanta Hawks,5209454
2009-2010,148,"Zaza Pachulia, C",Atlanta Hawks,4750000
2009-2010,161,"Al Horford, C",Atlanta Hawks,4307640
2009-2010,228,"Maurice Evans, SG",Atlanta Hawks,2500000
2009-2010,298,"Jeff Teague, PG",Atlanta Hawks,1373880
2009-2010,341,"Salim Stoudamire, SG",Atlanta Hawks,884881
2009-2010,350,"Randolph Morris, C",Atlanta Hawks,855189
2009-2010,377,"Othello Hunter, SF",Atlanta Hawks,736420
2009-2010,397,"Mario West, SG",Atlanta Hawks,451595
2010-2011,17,"Joe Johnson, SF",Atlanta Hawks,16324500
2010-2011,43,"Josh Smith, C",Atlanta Hawks,11700000
2010-2011,53,"Jamal Crawford, SG",Atlanta Hawks,10800000
2010-2011,89,"Marvin Williams, PF",Atlanta Hawks,7262500
2010-2011,128,"Al Horford, C",Atlanta Hawks,5444857
2010-2011,132,"Speedy Claxton, PG",Atlanta Hawks,5209454
2010-2011,159,"Zaza Pachulia, C",Atlanta Hawks,4251250
2010-2011,290,"Jeff Teague, PG",Atlanta Hawks,1476840
2010-2011,349,"Salim Stoudamire, SG",Atlanta Hawks,884881
2010-2011,361,"Etan Thomas, C",Atlanta Hawks,854389
2010-2011,388,"Othello Hunter, SF",Atlanta Hawks,736420
2010-2011,405,"Damien Wilkins, SG",Atlanta Hawks,482478
2011-2012,11,"Joe Johnson, SF",Atlanta Hawks,18038573
2011-2012,36,"Al Horford, C",Atlanta Hawks,12498483
2011-2012,37,"Josh Smith, C",Atlanta Hawks,12400000
2011-2012,75,"Kirk Hinrich, SG",Atlanta Hawks,8e+06
2011-2012,86,"Marvin Williams, PF",Atlanta Hawks,7500000
2011-2012,132,"Speedy Claxton, PG",Atlanta Hawks,5209454
2011-2012,147,"Zaza Pachulia, C",Atlanta Hawks,4750000
2011-2012,296,"Jeff Teague, PG",Atlanta Hawks,1579920
2011-2012,369,"Salim Stoudamire, SG",Atlanta Hawks,884881
2011-2012,384,"Jannero Pargo, PG",Atlanta Hawks,854389
2011-2012,386,"Etan Thomas, C",Atlanta Hawks,854389
2011-2012,409,"Pape Sy, SF",Atlanta Hawks,788872
2011-2012,430,"Othello Hunter, SF",Atlanta Hawks,736420
2011-2012,439,"Erick Dampier, C",Atlanta Hawks,530547
2012-2013,31,"Josh Smith, C",Atlanta Hawks,13200000
2012-2013,41,"Al Horford, C",Atlanta Hawks,1.2e+07
2012-2013,125,"Zaza Pachulia, C",Atlanta Hawks,5248750
2012-2013,128,"Speedy Claxton, PG",Atlanta Hawks,5209454
2012-2013,135,"Louis Williams, SG",Atlanta Hawks,5e+06
2012-2013,137,"Kyle Korver, SG",Atlanta Hawks,5e+06
2012-2013,188,"Johan Petro, C",Atlanta Hawks,3500000
2012-2013,246,"Jeff Teague, PG",Atlanta Hawks,2433077
2012-2013,257,"DeShawn Stevenson, SG",Atlanta Hawks,2240450
2012-2013,336,"John Jenkins, SG",Atlanta Hawks,1204560
2012-2013,371,"Ivan Johnson, PF",Atlanta Hawks,962195
2012-2013,379,"Salim Stoudamire, SG",Atlanta Hawks,884881
2012-2013,403,"Etan Thomas, C",Atlanta Hawks,854389
2012-2013,426,"Pape Sy, SF",Atlanta Hawks,788872
2012-2013,479,"Mike Scott, PF",Atlanta Hawks,473604
2013-2014,41,"Al Horford, C",Atlanta Hawks,1.2e+07
2013-2014,58,"Paul Millsap, PF",Atlanta Hawks,9500000
2013-2014,74,"Jeff Teague, PG",Atlanta Hawks,8e+06
2013-2014,89,"Kyle Korver, SG",Atlanta Hawks,6760563
2013-2014,100,"Jason Richardson, SG",Atlanta Hawks,6204250
2013-2014,112,"Louis Williams, SG",Atlanta Hawks,5225000
2013-2014,207,"DeMarre Carroll, SF",Atlanta Hawks,2557545
2013-2014,259,"Gustavo Ayon, PF",Atlanta Hawks,1500000
2013-2014,274,"Dennis Schroder, PG",Atlanta Hawks,1348200
2013-2014,279,"John Jenkins, SG",Atlanta Hawks,1258800
2013-2014,283,"Pero Antic, PF",Atlanta Hawks,1200000
2013-2014,318,"Shelvin Mack, PG",Atlanta Hawks,884293
2013-2014,329,"Mike Scott, PF",Atlanta Hawks,788872
2013-2014,371,"Mike Muscala, PF",Atlanta Hawks,138404
2014-2015,41,"Al Horford, C",Atlanta Hawks,1.2e+07
2014-2015,59,"Paul Millsap, PF",Atlanta Hawks,9500000
2014-2015,74,"Jeff Teague, PG",Atlanta Hawks,8e+06
2014-2015,100,"Kyle Korver, SG",Atlanta Hawks,6253521
2014-2015,152,"Thabo Sefolosha, SF",Atlanta Hawks,4150000
2014-2015,180,"Mike Scott, PF",Atlanta Hawks,3333333
2014-2015,228,"DeMarre Carroll, SF",Atlanta Hawks,2442455
2014-2015,230,"Shelvin Mack, PG",Atlanta Hawks,2433333
2014-2015,257,"Kent Bazemore, SF",Atlanta Hawks,2e+06
2014-2015,274,"Dennis Schroder, PG",Atlanta Hawks,1690680
2014-2015,301,"John Jenkins, SG",Atlanta Hawks,1312920
2014-2015,309,"Pero Antic, PF",Atlanta Hawks,1250000
2014-2015,375,"Mike Muscala, PF",Atlanta Hawks,816482
2015-2016,14,"Paul Millsap, PF",Atlanta Hawks,18671659
2015-2016,53,"Al Horford, C",Atlanta Hawks,1.2e+07
2015-2016,69,"Tiago Splitter, C",Atlanta Hawks,9756250
2015-2016,89,"Jeff Teague, PG",Atlanta Hawks,8e+06
2015-2016,118,"Kyle Korver, SG",Atlanta Hawks,5746479
2015-2016,169,"Thabo Sefolosha, SF",Atlanta Hawks,4e+06
2015-2016,191,"Mike Scott, PF",Atlanta Hawks,3333333
2015-2016,265,"Kent Bazemore, SF",Atlanta Hawks,2e+06
2015-2016,272,"Dennis Schroder, PG",Atlanta Hawks,1763400
2015-2016,303,"Tim Hardaway Jr., SG",Atlanta Hawks,1304520
2015-2016,349,"Walter Tavares, C",Atlanta Hawks,1e+06
2015-2016,365,"Jason Richardson, SG",Atlanta Hawks,947276
2015-2016,395,"Terran Petteway, SG",Atlanta Hawks,525093
2015-2016,396,"Lamar Patterson, SG",Atlanta Hawks,525093
2012-2013,438,"Jordan Williams, C",Bilbao Basket,762195
