SEASON,RK,NAME,TEAM,SALARY
2002-2003,100,"Shawn Bradley, C",Dallas Mavericks,4675000
2002-2003,140,"Evan Eschmeyer, C",Dallas Mavericks,3104000
2002-2003,146,"Dirk Nowitzki, PF",Dallas Mavericks,2923000
2003-2004,10,"Antoine Walker, PF",Dallas Mavericks,13500000
2003-2004,12,"Michael Finley, SG",Dallas Mavericks,13281000
2003-2004,53,"Steve Nash, PG",Dallas Mavericks,5750000
2003-2004,66,"Danny Fortson, C",Dallas Mavericks,5428000
2003-2004,74,"Shawn Bradley, C",Dallas Mavericks,5194000
2003-2004,116,"Tony Delk, PG",Dallas Mavericks,2925000
2003-2004,158,"Mamadou N'diaye, C",Dallas Mavericks,1537000
2004-2005,10,"Michael Finley, SG",Dallas Mavericks,14609000
2004-2005,25,"Alan Henderson, PF",Dallas Mavericks,8273000
2004-2005,27,"Erick Dampier, C",Dallas Mavericks,8105000
2004-2005,32,"Jerry Stackhouse, SF",Dallas Mavericks,7e+06
2004-2005,51,"Shawn Bradley, C",Dallas Mavericks,5714000
2005-2006,50,"Jerry Stackhouse, SF",Dallas Mavericks,8367187
2005-2006,62,"Erick Dampier, C",Dallas Mavericks,7662500
2005-2006,65,"Doug Christie, SG",Dallas Mavericks,7500000
2005-2006,86,"Jason Terry, SG",Dallas Mavericks,6666667
2005-2006,185,"Devin Harris, PG",Dallas Mavericks,2947440
2005-2006,233,"DeSagana Diop, C",Dallas Mavericks,2e+06
2005-2006,285,"Pavel Podkolzin, C",Dallas Mavericks,1141560
2005-2006,318,"Josh Howard, SF",Dallas Mavericks,923880
2005-2006,327,"Didier Ilunga-Mbenga, C",Dallas Mavericks,880000
2005-2006,334,"Adrian Griffin, SG",Dallas Mavericks,844537
2005-2006,357,"Darrell Armstrong, PG",Dallas Mavericks,719373
2005-2006,362,"Josh Powell, PF",Dallas Mavericks,641748
2005-2006,382,"Rawle Marshall, SF",Dallas Mavericks,398762
2006-2007,14,"Dirk Nowitzki, PF",Dallas Mavericks,15101622
2006-2007,40,"Erick Dampier, C",Dallas Mavericks,9628000
2006-2007,46,"Jerry Stackhouse, SF",Dallas Mavericks,9296874
2006-2007,63,"Jason Terry, SG",Dallas Mavericks,8100000
2006-2007,77,"Austin Croshere, PF",Dallas Mavericks,7300000
2006-2007,175,"Greg Buckner, SG",Dallas Mavericks,3240741
2006-2007,180,"Devin Harris, PG",Dallas Mavericks,3153120
2006-2007,207,"Anthony Johnson, PG",Dallas Mavericks,2640000
2006-2007,241,"DeSagana Diop, C",Dallas Mavericks,1998000
2006-2007,243,"Devean George, SF",Dallas Mavericks,1974259
2006-2007,270,"Josh Howard, SF",Dallas Mavericks,1667603
2006-2007,272,"Didier Ilunga-Mbenga, C",Dallas Mavericks,1628959
2006-2007,302,"Pavel Podkolzin, C",Dallas Mavericks,1221240
2006-2007,338,"Maurice Ager, SF",Dallas Mavericks,906480
2006-2007,393,"Pops Mensah-Bonsu, PF",Dallas Mavericks,412718
2007-2008,44,"Erick Dampier, C",Dallas Mavericks,10590500
2007-2008,52,"Josh Howard, SF",Dallas Mavericks,9500000
2007-2008,62,"Jason Terry, SG",Dallas Mavericks,8898000
2007-2008,87,"Jerry Stackhouse, SF",Dallas Mavericks,6750000
2007-2008,229,"Devean George, SF",Dallas Mavericks,2369111
2007-2008,265,"Eddie Jones, SG",Dallas Mavericks,1830000
2007-2008,359,"Juwan Howard, PF",Dallas Mavericks,761544
2008-2009,2,"Jason Kidd, PG",Dallas Mavericks,21372000
2008-2009,11,"Dirk Nowitzki, PF",Dallas Mavericks,18077904
2008-2009,42,"Erick Dampier, C",Dallas Mavericks,11553000
2008-2009,60,"Josh Howard, SF",Dallas Mavericks,9945000
2008-2009,73,"Jason Terry, SG",Dallas Mavericks,9196000
2008-2009,98,"Jerry Stackhouse, SF",Dallas Mavericks,7e+06
2008-2009,180,"Keith Van Horn, PF",Dallas Mavericks,3792112
2008-2009,274,"Antoine Wright, SF",Dallas Mavericks,1800000
2008-2009,289,"Devean George, SF",Dallas Mavericks,1600000
2008-2009,290,"Shawne Williams, SF",Dallas Mavericks,1572960
2008-2009,295,"J.J. Barea, PG",Dallas Mavericks,1500000
2008-2009,352,"Brandon Bass, PF",Dallas Mavericks,826269
2009-2010,6,"Dirk Nowitzki, PF",Dallas Mavericks,19795714
2009-2010,38,"Erick Dampier, C",Dallas Mavericks,12115500
2009-2010,72,"Jason Terry, SG",Dallas Mavericks,9075000
2009-2010,83,"Jason Kidd, PG",Dallas Mavericks,8100000
2009-2010,100,"Shawn Marion, SG",Dallas Mavericks,6635068
2009-2010,150,"Matt Carroll, SG",Dallas Mavericks,4700000
2009-2010,280,"J.J. Barea, PG",Dallas Mavericks,1657500
2009-2010,320,"Rodrigue Beaubois, PG",Dallas Mavericks,1075440
2010-2011,12,"Dirk Nowitzki, PF",Dallas Mavericks,17278618
2010-2011,37,"Tyson Chandler, C",Dallas Mavericks,12600000
2010-2011,58,"Caron Butler, SF",Dallas Mavericks,10561960
2010-2011,64,"Jason Terry, SG",Dallas Mavericks,9873000
2010-2011,73,"Jason Kidd, PG",Dallas Mavericks,8610500
2010-2011,95,"Shawn Marion, SG",Dallas Mavericks,7055500
2010-2011,99,"Brendan Haywood, C",Dallas Mavericks,6900000
2010-2011,163,"DeShawn Stevenson, SG",Dallas Mavericks,4151786
2010-2011,269,"J.J. Barea, PG",Dallas Mavericks,1815000
2010-2011,315,"Rodrigue Beaubois, PG",Dallas Mavericks,1156080
2010-2011,320,"Dominique Jones, SG",Dallas Mavericks,1110120
2010-2011,346,"Ian Mahinmi, C",Dallas Mavericks,885120
2010-2011,428,"Sasha Pavlovic, SG",Dallas Mavericks,211084
2011-2012,5,"Dirk Nowitzki, PF",Dallas Mavericks,19092873
2011-2012,47,"Jason Terry, SG",Dallas Mavericks,11158000
2011-2012,53,"Jason Kidd, PG",Dallas Mavericks,10121000
2011-2012,63,"Lamar Odom, PF",Dallas Mavericks,8900000
2011-2012,72,"Shawn Marion, SG",Dallas Mavericks,8022449
2011-2012,80,"Brendan Haywood, C",Dallas Mavericks,7624500
2011-2012,218,"Vince Carter, SG",Dallas Mavericks,3e+06
2011-2012,328,"Rodrigue Beaubois, PG",Dallas Mavericks,1236720
2011-2012,332,"Dominique Jones, SG",Dallas Mavericks,1193280
2011-2012,363,"Brandan Wright, PF",Dallas Mavericks,915852
2011-2012,364,"Ian Mahinmi, C",Dallas Mavericks,915852
2011-2012,413,"Yi Jianlian, PF",Dallas Mavericks,771706
2011-2012,462,"Peja Stojakovic, SF",Dallas Mavericks,402065
2011-2012,466,"Kelenna Azubuike, SF",Dallas Mavericks,280192
2011-2012,498,"Sean Williams, PF",Dallas Mavericks,49966
2012-2013,2,"Dirk Nowitzki, PF",Dallas Mavericks,20907128
2012-2013,64,"Shawn Marion, SG",Dallas Mavericks,8646364
2012-2013,168,"O.J. Mayo, SG",Dallas Mavericks,4020000
2012-2013,206,"Vince Carter, SG",Dallas Mavericks,3090000
2012-2013,220,"Dahntay Jones, SG",Dallas Mavericks,2900000
2012-2013,259,"Rodrigue Beaubois, PG",Dallas Mavericks,2227333
2012-2013,267,"Elton Brand, PF",Dallas Mavericks,2100500
2012-2013,283,"Darren Collison, PG",Dallas Mavericks,1900000
2012-2013,293,"Renaldo Balkman, SF",Dallas Mavericks,1675000
2012-2013,331,"Dominique Jones, SG",Dallas Mavericks,1276560
2012-2013,342,"Jared Cunningham, SG",Dallas Mavericks,1156320
2012-2013,369,"Brandan Wright, PF",Dallas Mavericks,992680
2012-2013,405,"Troy Murphy, PF",Dallas Mavericks,839312
2012-2013,431,"Yi Jianlian, PF",Dallas Mavericks,771706
2012-2013,454,"Jae Crowder, SF",Dallas Mavericks,600491
2012-2013,455,"Chris Douglas-Roberts, SG",Dallas Mavericks,582995
2012-2013,462,"Mike James, PG",Dallas Mavericks,502581
2012-2013,468,"Josh Akognon, PG",Dallas Mavericks,473604
2012-2013,483,"Peja Stojakovic, SF",Dallas Mavericks,402065
2012-2013,530,"Chris Wright, PG",Dallas Mavericks,27859
2013-2014,2,"Dirk Nowitzki, PF",Dallas Mavericks,22721381
2013-2014,59,"Shawn Marion, SG",Dallas Mavericks,9316796
2013-2014,88,"Jose Calderon, PG",Dallas Mavericks,6791570
2013-2014,121,"Brandan Wright, PF",Dallas Mavericks,5e+06
2013-2014,155,"Samuel Dalembert, C",Dallas Mavericks,3700748
2013-2014,180,"Vince Carter, SG",Dallas Mavericks,3180000
2013-2014,202,"Wayne Ellington, SG",Dallas Mavericks,2652000
2013-2014,255,"Shane Larkin, PG",Dallas Mavericks,1536960
2013-2014,342,"Ricky Ledo, SG",Dallas Mavericks,544000
2014-2015,24,"Tyson Chandler, C",Dallas Mavericks,14846888
2014-2015,28,"Chandler Parsons, SF",Dallas Mavericks,14700000
2014-2015,34,"Rajon Rondo, PG",Dallas Mavericks,12909090
2014-2015,72,"Monta Ellis, SG",Dallas Mavericks,8360000
2014-2015,75,"Dirk Nowitzki, PF",Dallas Mavericks,7974482
2014-2015,163,"Devin Harris, PG",Dallas Mavericks,3878896
2014-2015,167,"Raymond Felton, PG",Dallas Mavericks,3793693
2014-2015,338,"Al-Farouq Aminu, SF",Dallas Mavericks,981084
2014-2015,345,"Greg Smith, PF",Dallas Mavericks,948163
2014-2015,356,"Jae Crowder, SF",Dallas Mavericks,915243
2014-2015,357,"J.J. Barea, PG",Dallas Mavericks,909859
2014-2015,408,"Bernard James, C",Dallas Mavericks,236886
2015-2016,29,"Chandler Parsons, SF",Dallas Mavericks,15361500
2015-2016,81,"Dirk Nowitzki, PF",Dallas Mavericks,8333334
2015-2016,130,"Deron Williams, PG",Dallas Mavericks,5378974
2015-2016,133,"Zaza Pachulia, C",Dallas Mavericks,5200000
2015-2016,158,"J.J. Barea, PG",Dallas Mavericks,4290000
2015-2016,164,"Devin Harris, PG",Dallas Mavericks,4053446
2015-2016,170,"Raymond Felton, PG",Dallas Mavericks,3950313
2015-2016,257,"David Lee, PF",Dallas Mavericks,2085671
2015-2016,294,"Justin Anderson, SG",Dallas Mavericks,1449000
2015-2016,309,"JaVale McGee, C",Dallas Mavericks,1270964
1999-2000,12,"Antonio McDyess, PF",Denver Nuggets,9900000
1999-2000,19,"Nick Van Exel, PG",Denver Nuggets,8354000
1999-2000,79,"Raef LaFrentz, C",Denver Nuggets,2777000
1999-2000,120,"Keon Clark, PF",Denver Nuggets,1289000
1999-2000,129,"James Posey, SF",Denver Nuggets,974000
2000-2001,19,"Antonio McDyess, PF",Denver Nuggets,10800000
2000-2001,43,"Nick Van Exel, PG",Denver Nuggets,8184000
2000-2001,92,"Tariq Abdul-Wahad, SF",Denver Nuggets,4500000
2000-2001,95,"Robert Pack, PG",Denver Nuggets,4320000
2000-2001,112,"Voshon Lenard, SG",Denver Nuggets,3780000
2000-2001,143,"Raef LaFrentz, C",Denver Nuggets,2970000
2000-2001,216,"Aleksandar Radojevic, C",Denver Nuggets,1425000
2000-2001,243,"James Posey, SF",Denver Nuggets,1047000
2000-2001,291,"Ryan Bowen, SF",Denver Nuggets,508000
2000-2001,317,"Anthony Goldwire, PG",Denver Nuggets,243000
2000-2001,327,"Dan McClintock, C",Denver Nuggets,26000
2001-2002,4,"Juwan Howard, PF",Denver Nuggets,18750000
2001-2002,14,"Antonio McDyess, PF",Denver Nuggets,11700000
2001-2002,32,"Nick Van Exel, PG",Denver Nuggets,9093000
2001-2002,78,"Tariq Abdul-Wahad, SF",Denver Nuggets,5062000
2001-2002,88,"Scott Williams, C",Denver Nuggets,4650000
2001-2002,92,"Avery Johnson, PG",Denver Nuggets,4538000
2001-2002,105,"Voshon Lenard, SG",Denver Nuggets,4252000
2001-2002,117,"Raef LaFrentz, C",Denver Nuggets,3755000
2001-2002,132,"Tim Hardaway, G",Denver Nuggets,3360000
2001-2002,179,"Calbert Cheaney, SG",Denver Nuggets,2400000
2001-2002,180,"George McCloud, F",Denver Nuggets,2400000
2001-2002,254,"James Posey, SF",Denver Nuggets,1120000
2001-2002,272,"Donnell Harvey, PF",Denver Nuggets,927000
2001-2002,298,"Ryan Bowen, SF",Denver Nuggets,630000
2001-2002,332,"Zendon Hamilton, C",Denver Nuggets,466000
2001-2002,348,"Kenny Satterfield, G",Denver Nuggets,333000
2002-2003,4,"Juwan Howard, PF",Denver Nuggets,20625000
2002-2003,55,"Marcus Camby, C",Denver Nuggets,6750000
2002-2003,184,"Shammond Williams, PG",Denver Nuggets,1987000
2002-2003,189,"Rodney White, SF",Denver Nuggets,1821000
2002-2003,231,"Donnell Harvey, PF",Denver Nuggets,992000
2002-2003,251,"Mark Blount, C",Denver Nuggets,637000
2002-2003,256,"Ryan Bowen, SF",Denver Nuggets,587000
2002-2003,262,"Jeff Trepagnier, SG",Denver Nuggets,512000
2003-2004,40,"Marcus Camby, C",Denver Nuggets,7250000
2003-2004,105,"Andre Miller, PG",Denver Nuggets,3317000
2003-2004,145,"Rodney White, SF",Denver Nuggets,1948000
2004-2005,29,"Marcus Camby, C",Denver Nuggets,7750000
2004-2005,35,"Kenyon Martin, PF",Denver Nuggets,6667000
2004-2005,67,"DerMarr Johnson, SF",Denver Nuggets,4119000
2005-2006,31,"Kenyon Martin, PF",Denver Nuggets,10886364
2005-2006,42,"Marcus Camby, C",Denver Nuggets,9400000
2005-2006,56,"Andre Miller, PG",Denver Nuggets,8100000
2005-2006,142,"Eduardo Najera, PF",Denver Nuggets,4190476
2005-2006,154,"Carmelo Anthony, SF",Denver Nuggets,3713640
2005-2006,177,"Nene Hilario, C",Denver Nuggets,3039889
2005-2006,195,"Earl Boykins, PG",Denver Nuggets,2750000
2005-2006,255,"Greg Buckner, SG",Denver Nuggets,1670000
2005-2006,284,"Julius Hodge, SG",Denver Nuggets,1148760
2005-2006,328,"Linas Kleiza, SF",Denver Nuggets,879360
2005-2006,350,"Francisco Elson, C",Denver Nuggets,719373
2005-2006,352,"DerMarr Johnson, SF",Denver Nuggets,719373
2006-2007,28,"Kenyon Martin, PF",Denver Nuggets,12068182
2006-2007,50,"Marcus Camby, C",Denver Nuggets,8800000
2006-2007,65,"Nene Hilario, C",Denver Nuggets,8e+06
2006-2007,126,"Carmelo Anthony, SF",Denver Nuggets,4694041
2006-2007,128,"Eduardo Najera, PF",Denver Nuggets,4571428
2006-2007,148,"Reggie Evans, C",Denver Nuggets,4e+06
2006-2007,290,"J.R. Smith, SG",Denver Nuggets,1387560
2006-2007,340,"Linas Kleiza, SF",Denver Nuggets,845360
2006-2007,346,"Jamal Sampson, C",Denver Nuggets,774551
2006-2007,382,"Taurean Green, PG",Denver Nuggets,427163
2006-2007,383,"Yakhouba Diawara, SG",Denver Nuggets,412718
2006-2007,411,"Anthony Carter, PG",Denver Nuggets,37620
2007-2008,7,"Allen Iverson, SG",Denver Nuggets,19012500
2007-2008,27,"Kenyon Martin, PF",Denver Nuggets,13250000
2007-2008,29,"Carmelo Anthony, SF",Denver Nuggets,13041250
2007-2008,49,"Marcus Camby, C",Denver Nuggets,1e+07
2007-2008,63,"Nene Hilario, C",Denver Nuggets,8840000
2007-2008,132,"Eduardo Najera, PF",Denver Nuggets,4952380
2007-2008,169,"Steven Hunter, C",Denver Nuggets,3638600
2007-2008,196,"Chucky Atkins, PG",Denver Nuggets,3e+06
2007-2008,240,"D.J. Augustin, PG",Denver Nuggets,2208960
2007-2008,244,"J.R. Smith, SG",Denver Nuggets,2134067
2007-2008,326,"Linas Kleiza, SF",Denver Nuggets,1011360
2007-2008,363,"Yakhouba Diawara, SG",Denver Nuggets,687456
2007-2008,373,"Jelani McCoy, PF",Denver Nuggets,634620
2008-2009,25,"Kenyon Martin, PF",Denver Nuggets,14431816
2008-2009,27,"Carmelo Anthony, SF",Denver Nuggets,14410581
2008-2009,65,"Nene Hilario, C",Denver Nuggets,9680000
2008-2009,144,"J.R. Smith, SG",Denver Nuggets,4985001
2008-2009,273,"Linas Kleiza, SF",Denver Nuggets,1824493
2008-2009,303,"Renaldo Balkman, SF",Denver Nuggets,1369920
2008-2009,358,"Chris Andersen, PF",Denver Nuggets,797581
2008-2009,403,"Sonny Weems, SG",Denver Nuggets,442114
2009-2010,19,"Kenyon Martin, PF",Denver Nuggets,15852511
2009-2010,22,"Carmelo Anthony, SF",Denver Nuggets,15779912
2009-2010,40,"Chauncey Billups, PG",Denver Nuggets,12100000
2009-2010,53,"Nene Hilario, C",Denver Nuggets,10520000
2009-2010,116,"J.R. Smith, SG",Denver Nuggets,6171426
2009-2010,185,"Chris Andersen, PF",Denver Nuggets,3650000
2009-2010,246,"Renaldo Balkman, SF",Denver Nuggets,2112417
2009-2010,295,"Ty Lawson, PG",Denver Nuggets,1438680
2009-2010,305,"Malik Allen, PF",Denver Nuggets,1300000
2009-2010,318,"Arron Afflalo, SG",Denver Nuggets,1086240
2009-2010,362,"Johan Petro, C",Denver Nuggets,825497
2010-2011,15,"Kenyon Martin, PF",Denver Nuggets,16545454
2010-2011,46,"Nene Hilario, C",Denver Nuggets,11360000
2010-2011,104,"J.R. Smith, SG",Denver Nuggets,6757851
2010-2011,121,"Al Harrington, PF",Denver Nuggets,5765000
2010-2011,150,"Chris Andersen, PF",Denver Nuggets,4533300
2010-2011,263,"Arron Afflalo, SG",Denver Nuggets,1959577
2010-2011,286,"Ty Lawson, PG",Denver Nuggets,1546560
2010-2011,338,"Shavlik Randolph, PF",Denver Nuggets,992680
2010-2011,360,"Coby Karl, PG",Denver Nuggets,854389
2011-2012,77,"Andre Miller, PG",Denver Nuggets,7807728
2011-2012,78,"Arron Afflalo, SG",Denver Nuggets,7750000
2011-2012,112,"Al Harrington, PF",Denver Nuggets,6226200
2011-2012,123,"Wilson Chandler, SF",Denver Nuggets,5516664
2011-2012,163,"Chris Andersen, PF",Denver Nuggets,4234000
2011-2012,164,"Danilo Gallinari, SF",Denver Nuggets,4190182
2011-2012,197,"Timofey Mozgov, C",Denver Nuggets,3343896
2011-2012,212,"Corey Brewer, SG",Denver Nuggets,3059000
2011-2012,260,"Kosta Koufos, C",Denver Nuggets,2203792
2011-2012,261,"Rudy Fernandez, SG",Denver Nuggets,2180443
2011-2012,272,"Darrell Arthur, PF",Denver Nuggets,2027119
2011-2012,294,"Ty Lawson, PG",Denver Nuggets,1654440
2011-2012,326,"Kenneth Faried, PF",Denver Nuggets,1254720
2011-2012,339,"Jordan Hamilton, SG",Denver Nuggets,1121520
2011-2012,361,"Shavlik Randolph, PF",Denver Nuggets,992680
2011-2012,368,"Pops Mensah-Bonsu, PF",Denver Nuggets,885120
2012-2013,19,"Andre Iguodala, SF",Denver Nuggets,14968250
2012-2013,55,"JaVale McGee, C",Denver Nuggets,1e+07
2012-2013,60,"Danilo Gallinari, SF",Denver Nuggets,9439000
2012-2013,113,"Wilson Chandler, SF",Denver Nuggets,5930414
2012-2013,136,"Andre Miller, PG",Denver Nuggets,5e+06
2012-2013,199,"Corey Brewer, SG",Denver Nuggets,3243000
2012-2013,204,"Timofey Mozgov, C",Denver Nuggets,3140429
2012-2013,214,"Kosta Koufos, C",Denver Nuggets,3e+06
2012-2013,242,"Ty Lawson, PG",Denver Nuggets,2544529
2012-2013,294,"Anthony Randolph, SF",Denver Nuggets,1674641
2012-2013,322,"Evan Fournier, SG",Denver Nuggets,1361400
2012-2013,327,"Kenneth Faried, PF",Denver Nuggets,1311240
2012-2013,346,"Jordan Hamilton, SG",Denver Nuggets,1121520
2012-2013,378,"Pops Mensah-Bonsu, PF",Denver Nuggets,885120
2012-2013,437,"Julyan Stone, PG",Denver Nuggets,762195
2012-2013,501,"Ben Uzoh, PG",Denver Nuggets,190548
2013-2014,49,"Ty Lawson, PG",Denver Nuggets,10786517
2013-2014,50,"JaVale McGee, C",Denver Nuggets,10750000
2013-2014,52,"Danilo Gallinari, SF",Denver Nuggets,10146925
2013-2014,96,"Wilson Chandler, SF",Denver Nuggets,6344164
2013-2014,116,"JJ Hickson, C",Denver Nuggets,5150000
2013-2014,135,"Timofey Mozgov, C",Denver Nuggets,4400000
2013-2014,172,"Darrell Arthur, PF",Denver Nuggets,3231683
2013-2014,189,"Randy Foye, SG",Denver Nuggets,3e+06
2013-2014,230,"Nate Robinson, PG",Denver Nuggets,2016000
2013-2014,263,"Evan Fournier, SG",Denver Nuggets,1422720
2013-2014,271,"Kenneth Faried, PF",Denver Nuggets,1367640
2014-2015,43,"Ty Lawson, PG",Denver Nuggets,11595506
2014-2015,49,"Danilo Gallinari, SF",Denver Nuggets,10854850
2014-2015,93,"Wilson Chandler, SF",Denver Nuggets,6757913
2014-2015,119,"JJ Hickson, C",Denver Nuggets,5381750
2014-2015,142,"Timofey Mozgov, C",Denver Nuggets,4650000
2014-2015,175,"Darrell Arthur, PF",Denver Nuggets,3457149
2014-2015,204,"Randy Foye, SG",Denver Nuggets,3e+06
2014-2015,237,"Kenneth Faried, PF",Denver Nuggets,2249768
2014-2015,267,"Joffrey Lauvergne, C",Denver Nuggets,1790281
2014-2015,270,"Jusuf Nurkic, C",Denver Nuggets,1762680
2014-2015,283,"Gary Harris, SG",Denver Nuggets,1519200
2015-2016,34,"Danilo Gallinari, SF",Denver Nuggets,1.4e+07
2015-2016,58,"Kenneth Faried, PF",Denver Nuggets,11235955
2015-2016,63,"Wilson Chandler, SF",Denver Nuggets,10449438
2015-2016,155,"Jameer Nelson, PG",Denver Nuggets,4345000
2015-2016,182,"Will Barton, SF",Denver Nuggets,3533333
2015-2016,199,"Emmanuel Mudiay, PG",Denver Nuggets,3102240
2015-2016,221,"Darrell Arthur, PF",Denver Nuggets,2814000
2015-2016,270,"Jusuf Nurkic, C",Denver Nuggets,1842000
2015-2016,276,"Joffrey Lauvergne, C",Denver Nuggets,1709719
2015-2016,283,"Gary Harris, SG",Denver Nuggets,1584480
2015-2016,304,"Nikola Jokic, C",Denver Nuggets,1300000
2015-2016,377,"Kostas Papanikolaou, SF",Denver Nuggets,800321
1999-2000,45,"Loy Vaught, F",Detroit Pistons,4810000
1999-2000,49,"Jerry Stackhouse, SF",Detroit Pistons,4781000
1999-2000,92,"Lindsey Hunter, SG",Detroit Pistons,2350000
1999-2000,103,"Eric Montross, C",Detroit Pistons,2e+06
2000-2001,83,"Jerry Stackhouse, SF",Detroit Pistons,5e+06
2000-2001,103,"Ben Wallace, PF",Detroit Pistons,4e+06
2000-2001,113,"Dana Barros, PG",Detroit Pistons,3700000
2000-2001,130,"Jud Buechler, G",Detroit Pistons,3259000
2000-2001,141,"Chucky Atkins, PG",Detroit Pistons,3e+06
2000-2001,148,"Mikki Moore, C",Detroit Pistons,2848000
2000-2001,173,"Joe Smith, PF",Detroit Pistons,2250000
2000-2001,178,"John Wallace, SF",Detroit Pistons,2200000
2000-2001,226,"Mateen Cleaves, PG",Detroit Pistons,1253000
2001-2002,44,"Clifford Robinson, PF",Detroit Pistons,7656000
2001-2002,67,"Jerry Stackhouse, SF",Detroit Pistons,5500000
2001-2002,109,"Corliss Williamson, PF",Detroit Pistons,4e+06
2001-2002,127,"Zeljko Rebraca, C",Detroit Pistons,3500000
2001-2002,133,"Chucky Atkins, PG",Detroit Pistons,3300000
2001-2002,140,"Jon Barry, SG",Detroit Pistons,3175000
2001-2002,164,"Mikki Moore, C",Detroit Pistons,2531000
2001-2002,177,"Michael Curry, SF",Detroit Pistons,2400000
2001-2002,216,"Rodney White, SF",Detroit Pistons,1694000
2001-2002,228,"Dana Barros, PG",Detroit Pistons,1500000
2001-2002,301,"Victor Alexander, F",Detroit Pistons,591000
2001-2002,316,"Damon Jones, PG",Detroit Pistons,566000
2001-2002,343,"Brian Cardinal, PF",Detroit Pistons,465000
2001-2002,351,"Ratko Varda, C",Detroit Pistons,333000
2002-2003,40,"Clifford Robinson, PF",Detroit Pistons,8421000
2002-2003,82,"Ben Wallace, PF",Detroit Pistons,5e+06
2002-2003,102,"Corliss Williamson, PF",Detroit Pistons,4500000
2002-2003,118,"Zeljko Rebraca, C",Detroit Pistons,3850000
2002-2003,125,"Chucky Atkins, PG",Detroit Pistons,3600000
2002-2003,138,"Jon Barry, SG",Detroit Pistons,3175000
2002-2003,159,"Richard Hamilton, SG",Detroit Pistons,2681000
2002-2003,165,"Hubert Davis, SG",Detroit Pistons,2631000
2002-2003,167,"Michael Curry, SF",Detroit Pistons,2600000
2002-2003,194,"Danny Manning, F",Detroit Pistons,1650000
2002-2003,222,"Don Reid, F",Detroit Pistons,1100000
2003-2004,49,"Bob Sura, PG",Detroit Pistons,6166000
2003-2004,60,"Ben Wallace, PF",Detroit Pistons,5500000
2003-2004,78,"Corliss Williamson, PF",Detroit Pistons,5e+06
2003-2004,91,"Zeljko Rebraca, C",Detroit Pistons,4200000
2003-2004,96,"Chucky Atkins, PG",Detroit Pistons,3900000
2003-2004,102,"Richard Hamilton, SG",Detroit Pistons,3596000
2003-2004,106,"Lindsey Hunter, SG",Detroit Pistons,3300000
2004-2005,41,"Ben Wallace, PF",Detroit Pistons,6e+06
2005-2006,32,"Rasheed Wallace, PF",Detroit Pistons,10860000
2005-2006,55,"Richard Hamilton, SG",Detroit Pistons,8125000
2005-2006,67,"Ben Wallace, PF",Detroit Pistons,7500000
2005-2006,96,"Chauncey Billups, PG",Detroit Pistons,5909800
2005-2006,107,"Antonio McDyess, PF",Detroit Pistons,5393300
2005-2006,161,"Dale Davis, PF",Detroit Pistons,3500000
2005-2006,186,"Tony Delk, PG",Detroit Pistons,2925000
2005-2006,243,"Tayshaun Prince, SF",Detroit Pistons,1763115
2005-2006,246,"Lindsey Hunter, SG",Detroit Pistons,1760000
2005-2006,267,"Maurice Evans, SG",Detroit Pistons,1500000
2005-2006,312,"Carlos Delfino, SG",Detroit Pistons,969600
2005-2006,320,"Jason Maxiell, PF",Detroit Pistons,905640
2005-2006,379,"Alex Acker, G",Detroit Pistons,398762
2006-2007,32,"Rasheed Wallace, PF",Detroit Pistons,11650000
2006-2007,47,"Richard Hamilton, SG",Detroit Pistons,9187500
2006-2007,66,"Tayshaun Prince, SF",Detroit Pistons,7851240
2006-2007,94,"Chauncey Billups, PG",Detroit Pistons,6364400
2006-2007,122,"Nazr Mohammed, C",Detroit Pistons,5215000
2006-2007,166,"Dale Davis, PF",Detroit Pistons,3500000
2006-2007,225,"Lindsey Hunter, SG",Detroit Pistons,2250000
2006-2007,261,"Ronald Murray, SG",Detroit Pistons,1750000
2006-2007,320,"Carlos Delfino, SG",Detroit Pistons,1037280
2006-2007,328,"Jason Maxiell, PF",Detroit Pistons,973440
2006-2007,347,"Ronald Dupree, SF",Detroit Pistons,771331
2006-2007,388,"Will Blalock, SG",Detroit Pistons,412718
2007-2008,32,"Rasheed Wallace, PF",Detroit Pistons,12540000
2007-2008,50,"Richard Hamilton, SG",Detroit Pistons,1e+07
2007-2008,64,"Tayshaun Prince, SF",Detroit Pistons,8675620
2007-2008,93,"Antonio McDyess, PF",Detroit Pistons,6373900
2007-2008,168,"Amir Johnson, PF",Detroit Pistons,3666667
2007-2008,237,"Lindsey Hunter, SG",Detroit Pistons,2250000
2007-2008,284,"Rodney Stuckey, PG",Detroit Pistons,1569600
2007-2008,308,"Jarvis Hayes, SF",Detroit Pistons,1200000
2007-2008,325,"Jason Maxiell, PF",Detroit Pistons,1041360
2007-2008,338,"Arron Afflalo, SG",Detroit Pistons,944520
2008-2009,6,"Allen Iverson, SG",Detroit Pistons,20840625
2008-2009,31,"Rasheed Wallace, PF",Detroit Pistons,13930000
2008-2009,49,"Chauncey Billups, PG",Detroit Pistons,11050000
2008-2009,53,"Richard Hamilton, SG",Detroit Pistons,10812500
2008-2009,69,"Tayshaun Prince, SF",Detroit Pistons,9500000
2008-2009,173,"Kwame Brown, C",Detroit Pistons,4e+06
2008-2009,185,"Amir Johnson, PF",Detroit Pistons,3666667
