Name,Season,Age,Lg,Tm,RS_G,RS_W,RS_L,RS_W/L%,RS_W > .500,Finish,PS_G,PS_W,PS_L,PS_W/L%,Notes
Chick Reiser,1952-53,38,NBA,BLB,3,0,3,0,-1.5,4,,,,,
Jerry Reynolds,1986-87,,NBA,SAC,36,15,21,0.417,-3,5,,,,,
Jerry Reynolds,1987-88,,NBA,SAC,24,7,17,0.292,-5,6,,,,,
Jerry Reynolds,1988-89,,NBA,SAC,82,27,55,0.329,-14,6,,,,,
Jerry Reynolds,1989-90,,NBA,SAC,28,7,21,0.25,-7,7,,,,,
Gene Rhodes,1967-68,40,ABA,KEN,61,31,30,0.508,0.5,4,5,2,3,0.4,
Gene Rhodes,1968-69,41,ABA,KEN,78,42,36,0.538,3,3,7,3,4,0.429,
Gene Rhodes,1969-70,42,ABA,KEN,84,45,39,0.536,3,2,12,5,7,0.417,
Gene Rhodes,1970-71,43,ABA,KEN,15,10,5,0.667,2.5,2,,,,,
Pat Riley,1981-82,36,NBA,LAL,71,50,21,0.704,14.5,1,14,12,2,0.857,NBA Champions
Pat Riley,1982-83,37,NBA,LAL,82,58,24,0.707,17,1,15,8,7,0.533,WC Champions
Pat Riley,1983-84,38,NBA,LAL,82,54,28,0.659,13,1,21,14,7,0.667,WC Champions
Pat Riley,1984-85,39,NBA,LAL,82,62,20,0.756,21,1,19,15,4,0.789,NBA Champions
Pat Riley,1985-86,40,NBA,LAL,82,62,20,0.756,21,1,14,8,6,0.571,
Pat Riley,1986-87,41,NBA,LAL,82,65,17,0.793,24,1,18,15,3,0.833,NBA Champions
Pat Riley,1987-88,42,NBA,LAL,82,62,20,0.756,21,1,24,15,9,0.625,NBA Champions
Pat Riley,1988-89,43,NBA,LAL,82,57,25,0.695,16,1,15,11,4,0.733,WC Champions
Pat Riley,1989-90,44,NBA,LAL,82,63,19,0.768,22,1,9,4,5,0.444,
Pat Riley,1991-92,46,NBA,NYK,82,51,31,0.622,10,2,12,6,6,0.5,
Pat Riley,1992-93,47,NBA,NYK,82,60,22,0.732,19,1,15,9,6,0.6,
Pat Riley,1993-94,48,NBA,NYK,82,57,25,0.695,16,1,25,14,11,0.56,EC Champions
Pat Riley,1994-95,49,NBA,NYK,82,55,27,0.671,14,2,11,6,5,0.545,
Pat Riley,1995-96,50,NBA,MIA,82,42,40,0.512,1,3,3,0,3,0,
Pat Riley,1996-97,51,NBA,MIA,82,61,21,0.744,20,1,17,8,9,0.471,
Pat Riley,1997-98,52,NBA,MIA,82,55,27,0.671,14,1,5,2,3,0.4,
Pat Riley,1998-99,53,NBA,MIA,50,33,17,0.66,8,1,5,2,3,0.4,
Pat Riley,1999-00,54,NBA,MIA,82,52,30,0.634,11,1,10,6,4,0.6,
Pat Riley,2000-01,55,NBA,MIA,82,50,32,0.61,9,2,3,0,3,0,
Pat Riley,2001-02,56,NBA,MIA,82,36,46,0.439,-5,6,,,,,
Pat Riley,2002-03,57,NBA,MIA,82,25,57,0.305,-16,7,,,,,
Pat Riley,2005-06,60,NBA,MIA,61,41,20,0.672,10.5,1,23,16,7,0.696,NBA Champions
Pat Riley,2006-07,61,NBA,MIA,82,44,38,0.537,3,1,4,0,4,0,
Pat Riley,2007-08,62,NBA,MIA,82,15,67,0.183,-26,5,,,,,
Doc Rivers,1999-00,38,NBA,ORL,82,41,41,0.5,0,4,,,,,
Doc Rivers,2000-01,39,NBA,ORL,82,43,39,0.524,2,4,4,1,3,0.25,
Doc Rivers,2001-02,40,NBA,ORL,82,44,38,0.537,3,3,4,1,3,0.25,
Doc Rivers,2002-03,41,NBA,ORL,82,42,40,0.512,1,4,7,3,4,0.429,
Doc Rivers,2003-04,42,NBA,ORL,11,1,10,0.091,-4.5,7,,,,,
Doc Rivers,2004-05,43,NBA,BOS,82,45,37,0.549,4,1,7,3,4,0.429,
Doc Rivers,2005-06,44,NBA,BOS,82,33,49,0.402,-8,3,,,,,
Doc Rivers,2006-07,45,NBA,BOS,82,24,58,0.293,-17,5,,,,,
Doc Rivers,2007-08,46,NBA,BOS,82,66,16,0.805,25,1,26,16,10,0.615,NBA Champions
Doc Rivers,2008-09,47,NBA,BOS,82,62,20,0.756,21,1,14,7,7,0.5,
Doc Rivers,2009-10,48,NBA,BOS,82,50,32,0.61,9,1,24,15,9,0.625,EC Champions
Doc Rivers,2010-11,49,NBA,BOS,82,56,26,0.683,15,1,9,5,4,0.556,
Doc Rivers,2011-12,50,NBA,BOS,66,39,27,0.591,6,1,20,11,9,0.55,
Doc Rivers,2012-13,51,NBA,BOS,81,41,40,0.506,0.5,3,6,2,4,0.333,
Doc Rivers,2013-14,52,NBA,LAC,82,57,25,0.695,16,1,13,6,7,0.462,
Doc Rivers,2014-15,53,NBA,LAC,82,56,26,0.683,15,2,14,7,7,0.5,
Doc Rivers,2015-16,54,NBA,LAC,82,53,29,0.646,12,2,6,2,4,0.333,
Scotty Robertson,1974-75,44,NBA,NOJ,15,1,14,0.067,-6.5,5,,,,,
Scotty Robertson,1978-79,48,NBA,CHI,26,11,15,0.423,-2,5,,,,,
Scotty Robertson,1980-81,50,NBA,DET,82,21,61,0.256,-20,6,,,,,
Scotty Robertson,1981-82,51,NBA,DET,82,39,43,0.476,-2,3,,,,,
Scotty Robertson,1982-83,52,NBA,DET,82,37,45,0.451,-4,3,,,,,
Red Rocha,1957-58,34,NBA,DET,47,24,23,0.511,0.5,2,7,3,4,0.429,
Red Rocha,1958-59,35,NBA,DET,72,28,44,0.389,-8,3,3,1,2,0.333,
Red Rocha,1959-60,36,NBA,DET,34,13,21,0.382,-4,2,,,,,
Jimmy Rodgers,1988-89,,NBA,BOS,82,42,40,0.512,1,3,3,0,3,0,
Jimmy Rodgers,1989-90,,NBA,BOS,82,52,30,0.634,11,2,5,2,3,0.4,
Jimmy Rodgers,1991-92,,NBA,MIN,82,15,67,0.183,-26,6,,,,,
Jimmy Rodgers,1992-93,,NBA,MIN,29,6,23,0.207,-8.5,5,,,,,
Robert Rolfe,1946-47,38,BAA,TRH,44,17,27,0.386,-5,6,,,,,
Ron Rothstein,1988-89,,NBA,MIA,82,15,67,0.183,-26,6,,,,,
Ron Rothstein,1989-90,,NBA,MIA,82,18,64,0.22,-23,5,,,,,
Ron Rothstein,1990-91,,NBA,MIA,82,24,58,0.293,-17,6,,,,,
Ron Rothstein,1992-93,,NBA,DET,82,40,42,0.488,-1,6,,,,,
Roy Rubin,1972-73,47,NBA,PHI,51,4,47,0.078,-21.5,4,,,,,
Bill Russell,1966-67,32,NBA,BOS,81,60,21,0.741,19.5,2,9,4,5,0.444,
Bill Russell,1967-68,33,NBA,BOS,82,54,28,0.659,13,2,19,12,7,0.632,NBA Champions
Bill Russell,1968-69,34,NBA,BOS,82,48,34,0.585,7,4,18,12,6,0.667,NBA Champions
Bill Russell,1973-74,39,NBA,SEA,82,36,46,0.439,-5,3,,,,,
Bill Russell,1974-75,40,NBA,SEA,82,43,39,0.524,2,2,9,4,5,0.444,
Bill Russell,1975-76,41,NBA,SEA,82,43,39,0.524,2,2,6,2,4,0.333,
Bill Russell,1976-77,42,NBA,SEA,82,40,42,0.488,-1,4,,,,,
Bill Russell,1987-88,53,NBA,SAC,58,17,41,0.293,-12,6,,,,,
John Russell,1946-47,44,BAA,BOS,60,22,38,0.367,-8,5,,,,,
John Russell,1947-48,45,BAA,BOS,48,20,28,0.417,-4,3,3,1,2,0.333,
Philip Sachs,1946-47,,BAA,DTF,26,8,18,0.308,-5,4,,,,,
Ed Sadowski,1946-47,29,BAA,TRH,12,3,9,0.25,-3,6,,,,,
Tom Sanders,1977-78,39,NBA,BOS,48,21,27,0.438,-3,3,,,,,
Tom Sanders,1978-79,40,NBA,BOS,14,2,12,0.143,-5,5,,,,,
Flip Saunders,1995-96,40,NBA,MIN,62,20,42,0.323,-11,5,,,,,
Flip Saunders,1996-97,41,NBA,MIN,82,40,42,0.488,-1,3,3,0,3,0,
Flip Saunders,1997-98,42,NBA,MIN,82,45,37,0.549,4,3,5,2,3,0.4,
Flip Saunders,1998-99,43,NBA,MIN,50,25,25,0.5,0,4,4,1,3,0.25,
Flip Saunders,1999-00,44,NBA,MIN,82,50,32,0.61,9,3,4,1,3,0.25,
Flip Saunders,2000-01,45,NBA,MIN,82,47,35,0.573,6,4,4,1,3,0.25,
Flip Saunders,2001-02,46,NBA,MIN,82,50,32,0.61,9,3,3,0,3,0,
Flip Saunders,2002-03,47,NBA,MIN,82,51,31,0.622,10,3,6,2,4,0.333,
Flip Saunders,2003-04,48,NBA,MIN,82,58,24,0.707,17,1,18,10,8,0.556,
Flip Saunders,2004-05,49,NBA,MIN,51,25,26,0.49,-0.5,3,,,,,
Flip Saunders,2005-06,50,NBA,DET,82,64,18,0.78,23,1,18,10,8,0.556,
Flip Saunders,2006-07,51,NBA,DET,82,53,29,0.646,12,1,16,10,6,0.625,
Flip Saunders,2007-08,52,NBA,DET,82,59,23,0.72,18,1,17,10,7,0.588,
Flip Saunders,2009-10,54,NBA,WAS,82,26,56,0.317,-15,5,,,,,
Flip Saunders,2010-11,55,NBA,WAS,82,23,59,0.28,-18,5,,,,,
Flip Saunders,2011-12,56,NBA,WAS,17,2,15,0.118,-6.5,4,,,,,
Flip Saunders,2014-15,59,NBA,MIN,82,16,66,0.195,-25,5,0,0,0,,
Herm Schaefer,1951-52,33,NBA,INO,66,34,32,0.515,1,3,2,0,2,0,
Herm Schaefer,1952-53,34,NBA,INO,71,28,43,0.394,-7.5,4,2,0,2,0,
Fred Schaus,1960-61,35,NBA,LAL,79,36,43,0.456,-3.5,2,12,6,6,0.5,
Fred Schaus,1961-62,36,NBA,LAL,80,54,26,0.675,14,1,13,7,6,0.538,
Fred Schaus,1962-63,37,NBA,LAL,80,53,27,0.663,13,1,13,6,7,0.462,
Fred Schaus,1963-64,38,NBA,LAL,80,42,38,0.525,2,3,5,2,3,0.4,
Fred Schaus,1964-65,39,NBA,LAL,80,49,31,0.613,9,1,11,5,6,0.455,
Fred Schaus,1965-66,40,NBA,LAL,80,45,35,0.563,5,1,14,7,7,0.5,
Fred Schaus,1966-67,41,NBA,LAL,81,36,45,0.444,-4.5,3,3,0,3,0,
Dolph Schayes,1963-64,35,NBA,PHI,80,34,46,0.425,-6,3,5,2,3,0.4,
Dolph Schayes,1964-65,36,NBA,PHI,80,40,40,0.5,0,3,11,6,5,0.545,
Dolph Schayes,1965-66,37,NBA,PHI,80,55,25,0.688,15,1,5,1,4,0.2,
Dolph Schayes,1970-71,42,NBA,BUF,82,22,60,0.268,-19,4,,,,,
Dolph Schayes,1971-72,43,NBA,BUF,1,0,1,0,-0.5,4,,,,,
Mike Schuler,1986-87,46,NBA,POR,82,49,33,0.598,8,2,4,1,3,0.25,
Mike Schuler,1987-88,47,NBA,POR,82,53,29,0.646,12,2,4,1,3,0.25,
Mike Schuler,1988-89,48,NBA,POR,47,25,22,0.532,1.5,5,,,,,
Mike Schuler,1990-91,50,NBA,LAC,82,31,51,0.378,-10,6,,,,,
Mike Schuler,1991-92,51,NBA,LAC,45,21,24,0.467,-1.5,5,,,,,
Howie Schultz,1949-50,,NBA,AND,35,21,14,0.6,3.5,2,,,,,
Fred Scolari,1951-52,29,NBA,BLB,39,12,27,0.308,-7.5,5,,,,,
Byron Scott,2000-01,39,NBA,NJN,82,26,56,0.317,-15,6,,,,,
Byron Scott,2001-02,40,NBA,NJN,82,52,30,0.634,11,1,20,11,9,0.55,EC Champions
Byron Scott,2002-03,41,NBA,NJN,82,49,33,0.598,8,1,20,14,6,0.7,EC Champions
Byron Scott,2003-04,42,NBA,NJN,42,22,20,0.524,1,1,,,,,
Byron Scott,2004-05,43,NBA,NOH,82,18,64,0.22,-23,5,,,,,
Byron Scott,2005-06,44,NBA,NOK,82,38,44,0.463,-3,4,,,,,
Byron Scott,2006-07,45,NBA,NOK,82,39,43,0.476,-2,4,,,,,
Byron Scott,2007-08,46,NBA,NOH,82,56,26,0.683,15,1,12,7,5,0.583,
Byron Scott,2008-09,47,NBA,NOH,82,49,33,0.598,8,4,5,1,4,0.2,
Byron Scott,2009-10,48,NBA,NOH,9,3,6,0.333,-1.5,5,,,,,
Byron Scott,2010-11,49,NBA,CLE,82,19,63,0.232,-22,5,,,,,
Byron Scott,2011-12,50,NBA,CLE,66,21,45,0.318,-12,5,0,0,0,,
Byron Scott,2012-13,51,NBA,CLE,82,24,58,0.293,-17,5,0,0,0,,
Byron Scott,2014-15,53,NBA,LAL,82,21,61,0.256,-20,5,0,0,0,,
Byron Scott,2015-16,54,NBA,LAL,82,17,65,0.207,-24,5,0,0,0,,
Ray Scott,1972-73,34,NBA,DET,75,38,37,0.507,0.5,3,,,,,
Ray Scott,1973-74,35,NBA,DET,82,52,30,0.634,11,3,7,3,4,0.429,
Ray Scott,1974-75,36,NBA,DET,82,40,42,0.488,-1,3,3,1,2,0.333,
Ray Scott,1975-76,37,NBA,DET,42,17,25,0.405,-4,2,,,,,
George Senesky,1955-56,33,NBA,PHW,72,45,27,0.625,9,1,10,7,3,0.7,NBA Champions
George Senesky,1956-57,34,NBA,PHW,72,37,35,0.514,1,3,2,0,2,0,
George Senesky,1957-58,35,NBA,PHW,72,37,35,0.514,1,3,8,3,5,0.375,
Paul Seymour,1956-57,29,NBA,SYR,60,34,26,0.567,4,2,5,2,3,0.4,
Paul Seymour,1957-58,30,NBA,SYR,72,41,31,0.569,5,2,3,1,2,0.333,
Paul Seymour,1958-59,31,NBA,SYR,72,35,37,0.486,-1,3,9,5,4,0.556,
Paul Seymour,1959-60,32,NBA,SYR,75,45,30,0.6,7.5,3,3,1,2,0.333,
Paul Seymour,1960-61,33,NBA,STL,79,51,28,0.646,11.5,1,12,5,7,0.417,
Paul Seymour,1961-62,34,NBA,STL,14,5,9,0.357,-2,4,,,,,
Paul Seymour,1965-66,38,NBA,BAL,80,38,42,0.475,-2,2,3,0,3,0,
Paul Seymour,1968-69,41,NBA,DET,60,22,38,0.367,-8,6,,,,,
Bill Sharman,1966-67,40,NBA,SFW,81,44,37,0.543,3.5,1,15,9,6,0.6,
Bill Sharman,1967-68,41,NBA,SFW,82,43,39,0.524,2,3,10,4,6,0.4,
Bill Sharman,1968-69,42,ABA,LAS,78,33,45,0.423,-6,5,,,,,
Bill Sharman,1969-70,43,ABA,LAS,84,43,41,0.512,1,4,17,10,7,0.588,
Bill Sharman,1970-71,44,ABA,UTS,84,57,27,0.679,15,2,18,12,6,0.667,ABA Champions
Bill Sharman,1971-72,45,NBA,LAL,82,69,13,0.841,28,1,15,12,3,0.8,NBA Champions
Bill Sharman,1972-73,46,NBA,LAL,82,60,22,0.732,19,1,17,9,8,0.529,WC Champions
Bill Sharman,1973-74,47,NBA,LAL,82,47,35,0.573,6,1,5,1,4,0.2,
Bill Sharman,1974-75,48,NBA,LAL,82,30,52,0.366,-11,5,,,,,
Bill Sharman,1975-76,49,NBA,LAL,82,40,42,0.488,-1,4,,,,,
Brian Shaw,2013-14,47,NBA,DEN,82,36,46,0.439,-5,4,0,0,0,,
Brian Shaw,2014-15,48,NBA,DEN,59,20,39,0.339,-9.5,4,0,0,0,,
Beryl Shipley,1974-75,48,ABA,SDA,46,16,30,0.348,-7,5,,,,,
Charley Shipp,1949-50,36,NBA,WAT,35,8,27,0.229,-9.5,5,,,,,
Gene Shue,1966-67,35,NBA,BAL,56,16,40,0.286,-12,5,,,,,
Gene Shue,1967-68,36,NBA,BAL,82,36,46,0.439,-5,6,,,,,
Gene Shue,1968-69,37,NBA,BAL,82,57,25,0.695,16,1,4,0,4,0,
Gene Shue,1969-70,38,NBA,BAL,82,50,32,0.61,9,3,7,3,4,0.429,
Gene Shue,1970-71,39,NBA,BAL,82,42,40,0.512,1,1,18,8,10,0.444,EC Champions
Gene Shue,1971-72,40,NBA,BAL,82,38,44,0.463,-3,1,6,2,4,0.333,
Gene Shue,1972-73,41,NBA,BAL,82,52,30,0.634,11,1,5,1,4,0.2,
Gene Shue,1973-74,42,NBA,PHI,82,25,57,0.305,-16,4,,,,,
Gene Shue,1974-75,43,NBA,PHI,82,34,48,0.415,-7,4,,,,,
Gene Shue,1975-76,44,NBA,PHI,82,46,36,0.561,5,2,3,1,2,0.333,
Gene Shue,1976-77,45,NBA,PHI,82,50,32,0.61,9,1,19,10,9,0.526,EC Champions
Gene Shue,1977-78,46,NBA,PHI,6,2,4,0.333,-1,1,,,,,
Gene Shue,1978-79,47,NBA,SDC,82,43,39,0.524,2,5,,,,,
Gene Shue,1979-80,48,NBA,SDC,82,35,47,0.427,-6,5,,,,,
Gene Shue,1980-81,49,NBA,WSB,82,39,43,0.476,-2,4,,,,,
Gene Shue,1981-82,50,NBA,WSB,82,43,39,0.524,2,4,7,3,4,0.429,
Gene Shue,1982-83,51,NBA,WSB,82,42,40,0.512,1,5,,,,,
Gene Shue,1983-84,52,NBA,WSB,82,35,47,0.427,-6,5,4,1,3,0.25,
Gene Shue,1984-85,53,NBA,WSB,82,40,42,0.488,-1,4,4,1,3,0.25,
Gene Shue,1985-86,54,NBA,WSB,69,32,37,0.464,-2.5,3,,,,,
Gene Shue,1987-88,56,NBA,LAC,82,17,65,0.207,-24,6,,,,,
Gene Shue,1988-89,57,NBA,LAC,38,10,28,0.263,-9,7,,,,,
Paul Silas,1980-81,37,NBA,SDC,82,36,46,0.439,-5,5,,,,,
Paul Silas,1981-82,38,NBA,SDC,82,17,65,0.207,-24,6,,,,,
Paul Silas,1982-83,39,NBA,SDC,82,25,57,0.305,-16,6,,,,,
Paul Silas,1998-99,55,NBA,CHH,35,22,13,0.629,4.5,5,,,,,
Paul Silas,1999-00,56,NBA,CHH,82,49,33,0.598,8,2,4,1,3,0.25,
Paul Silas,2000-01,57,NBA,CHH,82,46,36,0.561,5,3,10,6,4,0.6,
Paul Silas,2001-02,58,NBA,CHH,82,44,38,0.537,3,2,9,4,5,0.444,
Paul Silas,2002-03,59,NBA,NOH,82,47,35,0.573,6,3,6,2,4,0.333,
Paul Silas,2003-04,60,NBA,CLE,82,35,47,0.427,-6,5,,,,,
Paul Silas,2004-05,61,NBA,CLE,64,34,30,0.531,2,4,,,,,
Paul Silas,2010-11,67,NBA,CHA,54,25,29,0.463,-2,4,,,,,
Paul Silas,2011-12,68,NBA,CHA,66,7,59,0.106,-26,5,0,0,0,,
Scott Skiles,1999-00,35,NBA,PHO,62,40,22,0.645,9,3,9,4,5,0.444,
Scott Skiles,2000-01,36,NBA,PHO,82,51,31,0.622,10,3,4,1,3,0.25,
Scott Skiles,2001-02,37,NBA,PHO,51,25,26,0.49,-0.5,6,,,,,
Scott Skiles,2003-04,39,NBA,CHI,66,19,47,0.288,-14,8,,,,,
Scott Skiles,2004-05,40,NBA,CHI,82,47,35,0.573,6,2,6,2,4,0.333,
Scott Skiles,2005-06,41,NBA,CHI,82,41,41,0.5,0,4,6,2,4,0.333,
Scott Skiles,2006-07,42,NBA,CHI,82,49,33,0.598,8,3,10,6,4,0.6,
Scott Skiles,2007-08,43,NBA,CHI,25,9,16,0.36,-3.5,4,,,,,
Scott Skiles,2008-09,44,NBA,MIL,82,34,48,0.415,-7,5,,,,,
Scott Skiles,2009-10,45,NBA,MIL,82,46,36,0.561,5,2,7,3,4,0.429,
Scott Skiles,2010-11,46,NBA,MIL,82,35,47,0.427,-6,3,,,,,
Scott Skiles,2011-12,47,NBA,MIL,66,31,35,0.47,-2,3,0,0,0,,
Scott Skiles,2012-13,48,NBA,MIL,32,16,16,0.5,0,3,,,,,
Scott Skiles,2015-16,51,NBA,ORL,82,35,47,0.427,-6,5,0,0,0,,
Jerry Sloan,1979-80,37,NBA,CHI,82,30,52,0.366,-11,4,,,,,
Jerry Sloan,1980-81,38,NBA,CHI,82,45,37,0.549,4,2,6,2,4,0.333,
Jerry Sloan,1981-82,39,NBA,CHI,51,19,32,0.373,-6.5,5,,,,,
Jerry Sloan,1988-89,46,NBA,UTA,65,40,25,0.615,7.5,1,3,0,3,0,
Jerry Sloan,1989-90,47,NBA,UTA,82,55,27,0.671,14,2,5,2,3,0.4,
Jerry Sloan,1990-91,48,NBA,UTA,82,54,28,0.659,13,2,9,4,5,0.444,
Jerry Sloan,1991-92,49,NBA,UTA,82,55,27,0.671,14,1,16,9,7,0.563,
Jerry Sloan,1992-93,50,NBA,UTA,82,47,35,0.573,6,3,5,2,3,0.4,
Jerry Sloan,1993-94,51,NBA,UTA,82,53,29,0.646,12,3,16,8,8,0.5,
Jerry Sloan,1994-95,52,NBA,UTA,82,60,22,0.732,19,2,5,2,3,0.4,
Jerry Sloan,1995-96,53,NBA,UTA,82,55,27,0.671,14,2,18,10,8,0.556,
Jerry Sloan,1996-97,54,NBA,UTA,82,64,18,0.78,23,1,20,13,7,0.65,WC Champions
Jerry Sloan,1997-98,55,NBA,UTA,82,62,20,0.756,21,1,20,13,7,0.65,WC Champions
Jerry Sloan,1998-99,56,NBA,UTA,50,37,13,0.74,12,2,11,5,6,0.455,
Jerry Sloan,1999-00,57,NBA,UTA,82,55,27,0.671,14,1,10,4,6,0.4,
Jerry Sloan,2000-01,58,NBA,UTA,82,53,29,0.646,12,2,5,2,3,0.4,
Jerry Sloan,2001-02,59,NBA,UTA,82,44,38,0.537,3,4,4,1,3,0.25,
Jerry Sloan,2002-03,60,NBA,UTA,82,47,35,0.573,6,4,5,1,4,0.2,
Jerry Sloan,2003-04,61,NBA,UTA,82,42,40,0.512,1,7,,,,,
Jerry Sloan,2004-05,62,NBA,UTA,82,26,56,0.317,-15,5,,,,,
Jerry Sloan,2005-06,63,NBA,UTA,82,41,41,0.5,0,2,,,,,
Jerry Sloan,2006-07,64,NBA,UTA,82,51,31,0.622,10,1,17,9,8,0.529,
Jerry Sloan,2007-08,65,NBA,UTA,82,54,28,0.659,13,1,12,6,6,0.5,
Jerry Sloan,2008-09,66,NBA,UTA,82,48,34,0.585,7,3,5,1,4,0.2,
Jerry Sloan,2009-10,67,NBA,UTA,82,53,29,0.646,12,2,10,4,6,0.4,
Jerry Sloan,2010-11,68,NBA,UTA,54,31,23,0.574,4,4,,,,,
Keith Smart,2002-03,38,NBA,CLE,40,9,31,0.225,-11,8,,,,,
Keith Smart,2010-11,46,NBA,GSW,82,36,46,0.439,-5,3,,,,,
Keith Smart,2011-12,47,NBA,SAC,59,20,39,0.339,-9.5,5,0,0,0,,
Keith Smart,2012-13,48,NBA,SAC,82,28,54,0.341,-13,4,0,0,0,,
Jack Smiley,1949-50,27,NBA,WAT,27,11,16,0.407,-2.5,5,,,,,
Quin Snyder,2014-15,48,NBA,UTA,82,38,44,0.463,-3,3,0,0,0,,
Quin Snyder,2015-16,49,NBA,UTA,82,40,42,0.488,-1,3,0,0,0,,
Albert Soar,1947-48,33,BAA,PRO,19,2,17,0.105,-7.5,4,,,,,
Erik Spoelstra,2008-09,38,NBA,MIA,82,43,39,0.524,2,3,7,3,4,0.429,
Erik Spoelstra,2009-10,39,NBA,MIA,82,47,35,0.573,6,3,5,1,4,0.2,
Erik Spoelstra,2010-11,40,NBA,MIA,82,58,24,0.707,17,1,21,14,7,0.667,EC Champions
Erik Spoelstra,2011-12,41,NBA,MIA,66,46,20,0.697,13,1,23,16,7,0.696,NBA Champions
Erik Spoelstra,2012-13,42,NBA,MIA,82,66,16,0.805,25,1,23,16,7,0.696,NBA Champions
Erik Spoelstra,2013-14,43,NBA,MIA,82,54,28,0.659,13,1,20,13,7,0.65,EC Champions
Erik Spoelstra,2014-15,44,NBA,MIA,82,37,45,0.451,-4,3,0,0,0,,
Erik Spoelstra,2015-16,45,NBA,MIA,82,48,34,0.585,7,1,14,7,7,0.5,
Garry St. Jean,1992-93,,NBA,SAC,82,25,57,0.305,-16,7,,,,,
Garry St. Jean,1993-94,,NBA,SAC,82,28,54,0.341,-13,6,,,,,
Garry St. Jean,1994-95,,NBA,SAC,82,39,43,0.476,-2,5,,,,,
Garry St. Jean,1995-96,,NBA,SAC,82,39,43,0.476,-2,5,4,1,3,0.25,
Garry St. Jean,1996-97,,NBA,SAC,67,28,39,0.418,-5.5,6,,,,,
Garry St. Jean,1999-00,,NBA,GSW,55,13,42,0.236,-14.5,6,,,,,
Bob Staak,1996-97,,NBA,WSB,1,0,1,0,-0.5,4,,,,,
Larry Staverman,1967-68,31,ABA,INA,78,38,40,0.487,-1,3,3,0,3,0,
Larry Staverman,1968-69,32,ABA,INA,9,2,7,0.222,-2.5,1,,,,,
Larry Staverman,1977-78,41,NBA,KCK,45,18,27,0.4,-4.5,5,,,,,
Jerry Steele,1970-71,,ABA,CAR,42,17,25,0.405,-4,6,,,,,
Brad Stevens,2013-14,37,NBA,BOS,82,25,57,0.305,-16,4,0,0,0,,
Brad Stevens,2014-15,38,NBA,BOS,82,40,42,0.488,-1,2,4,0,4,0,
Brad Stevens,2015-16,39,NBA,BOS,82,48,34,0.585,7,2,6,2,4,0.333,
Terry Stotts,2002-03,45,NBA,ATL,55,24,31,0.436,-3.5,5,,,,,
Terry Stotts,2003-04,46,NBA,ATL,82,28,54,0.341,-13,7,,,,,
Terry Stotts,2005-06,48,NBA,MIL,82,40,42,0.488,-1,5,5,1,4,0.2,
Terry Stotts,2006-07,49,NBA,MIL,64,23,41,0.359,-9,5,,,,,
Terry Stotts,2012-13,55,NBA,POR,82,33,49,0.402,-8,4,0,0,0,,
Terry Stotts,2013-14,56,NBA,POR,82,54,28,0.659,13,2,11,5,6,0.455,
Terry Stotts,2014-15,57,NBA,POR,82,51,31,0.622,10,1,5,1,4,0.2,
Terry Stotts,2015-16,58,NBA,POR,82,44,38,0.537,3,2,11,5,6,0.455,
Ken Suesens,1949-50,33,NBA,SHE,62,22,40,0.355,-9,4,3,1,2,0.333,
Ed Tapscott,2008-09,,NBA,WAS,71,18,53,0.254,-17.5,5,,,,,
Jerry Tarkanian,1992-93,62,NBA,SAS,20,9,11,0.45,-1,2,,,,,
Reggie Theus,2007-08,50,NBA,SAC,82,38,44,0.463,-3,4,,,,,
Reggie Theus,2008-09,51,NBA,SAC,24,6,18,0.25,-6,5,,,,,
Tom Thibodeau,2010-11,53,NBA,CHI,82,62,20,0.756,21,1,16,9,7,0.563,
Tom Thibodeau,2011-12,54,NBA,CHI,66,50,16,0.758,17,1,6,2,4,0.333,
Tom Thibodeau,2012-13,55,NBA,CHI,82,45,37,0.549,4,2,12,5,7,0.417,
Tom Thibodeau,2013-14,56,NBA,CHI,82,48,34,0.585,7,2,5,1,4,0.2,
Tom Thibodeau,2014-15,57,NBA,CHI,82,50,32,0.61,9,2,12,6,6,0.5,
Isiah Thomas,2000-01,39,NBA,IND,82,41,41,0.5,0,4,4,1,3,0.25,
Isiah Thomas,2001-02,40,NBA,IND,82,42,40,0.512,1,4,5,2,3,0.4,
Isiah Thomas,2002-03,41,NBA,IND,82,48,34,0.585,7,2,6,2,4,0.333,
Isiah Thomas,2006-07,45,NBA,NYK,82,33,49,0.402,-8,4,,,,,
Isiah Thomas,2007-08,46,NBA,NYK,82,23,59,0.28,-18,5,,,,,
Rod Thorn,1975-76,34,ABA,SSL,47,20,27,0.426,-3.5,6,,,,,
Rod Thorn,1981-82,40,NBA,CHI,30,15,15,0.5,0,5,,,,,
Jim Todd,1999-00,,NBA,LAC,37,4,33,0.108,-14.5,7,,,,,
Rolland Todd,1970-71,,NBA,POR,82,29,53,0.354,-12,5,,,,,
Rolland Todd,1971-72,,NBA,POR,56,12,44,0.214,-16,5,,,,,
Mike Todorovich,1950-51,27,NBA,TRI,42,14,28,0.333,-7,5,,,,,
Rudy Tomjanovich,1991-92,43,NBA,HOU,30,16,14,0.533,1,3,,,,,
Rudy Tomjanovich,1992-93,44,NBA,HOU,82,55,27,0.671,14,1,12,6,6,0.5,
